time,open,high,low,close,volume
2025-01-02 00:00:00,1.08,1.0804,1.07966,1.07982,2483
2025-01-02 00:15:00,1.07975,1.08086,1.07953,1.07992,2399
2025-01-02 00:30:00,1.08006,1.08009,1.07958,1.07993,4043
2025-01-02 00:45:00,1.08012,1.08017,1.07985,1.08015,1466
2025-01-02 01:00:00,1.08006,1.08022,1.07984,1.08022,3006
2025-01-02 01:15:00,1.08015,1.08052,1.08015,1.08043,1013
2025-01-02 01:30:00,1.08054,1.08065,1.07948,1.08034,4074
2025-01-02 01:45:00,1.08039,1.08039,1.07968,1.08017,3615
2025-01-02 02:00:00,1.08024,1.08088,1.08024,1.08069,540
2025-01-02 02:15:00,1.08078,1.08078,1.07968,1.08036,762
2025-01-02 02:30:00,1.08034,1.0808,1.08005,1.0805,1532
2025-01-02 02:45:00,1.08053,1.08097,1.07977,1.08058,3624
2025-01-02 03:00:00,1.08061,1.08089,1.07974,1.08057,2319
2025-01-02 03:15:00,1.08048,1.08104,1.08035,1.08061,627
2025-01-02 03:30:00,1.08065,1.08065,1.08028,1.08037,3078
2025-01-02 03:45:00,1.0805,1.0805,1.07987,1.08008,3513
2025-01-02 04:00:00,1.08004,1.08093,1.08004,1.08062,3711
2025-01-02 04:15:00,1.08064,1.08064,1.07935,1.08027,1393
2025-01-02 04:30:00,1.08029,1.08047,1.08014,1.08015,3306
2025-01-02 04:45:00,1.08012,1.08038,1.07963,1.08028,2779
2025-01-02 05:00:00,1.08034,1.08057,1.08025,1.08027,4683
2025-01-02 05:15:00,1.0802,1.08056,1.07924,1.0803,3313
2025-01-02 05:30:00,1.08043,1.08102,1.08043,1.08074,2287
2025-01-02 05:45:00,1.08081,1.08081,1.08,1.08009,2748
2025-01-02 06:00:00,1.08,1.08054,1.07961,1.08006,3533
2025-01-02 06:15:00,1.08023,1.08042,1.08003,1.08017,2908
2025-01-02 06:30:00,1.08019,1.08086,1.08015,1.08029,2679
2025-01-02 06:45:00,1.08022,1.08105,1.07964,1.07983,676
2025-01-02 07:00:00,1.07994,1.08041,1.07959,1.0797,3623
2025-01-02 07:15:00,1.07975,1.08045,1.07949,1.07997,521
2025-01-02 07:30:00,1.0798,1.07995,1.07931,1.07974,1152
2025-01-02 07:45:00,1.07968,1.08073,1.07927,1.08014,3890
2025-01-02 08:00:00,1.08017,1.08041,1.07986,1.08035,1282
2025-01-02 08:15:00,1.08013,1.08013,1.0793,1.08,667
2025-01-02 08:30:00,1.08001,1.08063,1.0795,1.07998,1561
2025-01-02 08:45:00,1.08,1.08056,1.08,1.0802,1372
2025-01-02 09:00:00,1.08008,1.08052,1.07978,1.08039,2281
2025-01-02 09:15:00,1.08042,1.08091,1.07945,1.07974,1896
2025-01-02 09:30:00,1.07974,1.08103,1.07969,1.08016,1131
2025-01-02 09:45:00,1.08004,1.08073,1.07997,1.08019,2101
2025-01-02 10:00:00,1.08028,1.08046,1.07994,1.0803,3381
2025-01-02 10:15:00,1.08038,1.08043,1.07924,1.08038,1950
2025-01-02 10:30:00,1.08035,1.08064,1.07993,1.08059,2363
2025-01-02 10:45:00,1.08057,1.08057,1.07942,1.08007,1221
2025-01-02 11:00:00,1.08014,1.0809,1.07995,1.08006,3836
2025-01-02 11:15:00,1.08004,1.08004,1.07899,1.07992,742
2025-01-02 11:30:00,1.07972,1.08031,1.07963,1.07998,3148
2025-01-02 11:45:00,1.08003,1.08056,1.07993,1.08039,4872
2025-01-02 12:00:00,1.08031,1.08037,1.07978,1.07986,902
2025-01-02 12:15:00,1.07982,1.08007,1.07965,1.07984,1953
2025-01-02 12:30:00,1.07998,1.08086,1.07998,1.08033,1496
2025-01-02 12:45:00,1.08031,1.0808,1.08021,1.08024,4671
2025-01-02 13:00:00,1.08024,1.08047,1.07925,1.07993,3650
2025-01-02 13:15:00,1.07998,1.08057,1.07998,1.08024,4913
2025-01-02 13:30:00,1.08029,1.08032,1.08001,1.08024,4001
2025-01-02 13:45:00,1.08015,1.08068,1.07998,1.08056,1686
2025-01-02 14:00:00,1.08056,1.08091,1.08003,1.08023,1881
2025-01-02 14:15:00,1.08023,1.08121,1.07978,1.08041,4924
2025-01-02 14:30:00,1.08044,1.08078,1.08017,1.08078,2354
2025-01-02 14:45:00,1.08081,1.08081,1.0804,1.08046,2404
2025-01-02 15:00:00,1.08072,1.08072,1.08026,1.08033,4166
2025-01-02 15:15:00,1.08022,1.08113,1.08015,1.08047,2448
2025-01-02 15:30:00,1.08057,1.08057,1.07987,1.08018,4533
2025-01-02 15:45:00,1.0803,1.08076,1.08023,1.08065,4027
2025-01-02 16:00:00,1.0807,1.0807,1.0798,1.0803,2252
2025-01-02 16:15:00,1.08023,1.08041,1.07994,1.08033,2237
2025-01-02 16:30:00,1.0805,1.0805,1.07983,1.08023,2313
2025-01-02 16:45:00,1.08001,1.08088,1.08001,1.08071,2454
2025-01-02 17:00:00,1.08065,1.08096,1.08065,1.08071,4509
2025-01-02 17:15:00,1.08083,1.08115,1.08032,1.08041,1037
2025-01-02 17:30:00,1.08037,1.08102,1.08006,1.08067,2890
2025-01-02 17:45:00,1.08083,1.08083,1.0802,1.08039,2289
2025-01-02 18:00:00,1.08024,1.08089,1.08024,1.08074,1690
2025-01-02 18:15:00,1.08063,1.08169,1.08054,1.08094,4436
2025-01-02 18:30:00,1.08089,1.08152,1.08067,1.081,1995
2025-01-02 18:45:00,1.08104,1.08104,1.08047,1.08058,2687
2025-01-02 19:00:00,1.08056,1.08056,1.0801,1.08051,3870
2025-01-02 19:15:00,1.08046,1.0808,1.08018,1.08058,1759
2025-01-02 19:30:00,1.08072,1.08135,1.07984,1.08051,4575
2025-01-02 19:45:00,1.08066,1.08127,1.08066,1.0809,3530
2025-01-02 20:00:00,1.08086,1.08157,1.08086,1.08095,596
2025-01-02 20:15:00,1.08077,1.08079,1.07984,1.08074,1819
2025-01-02 20:30:00,1.08053,1.08146,1.08053,1.08106,1214
2025-01-02 20:45:00,1.08108,1.08108,1.08069,1.08082,2994
2025-01-02 21:00:00,1.08088,1.08112,1.08051,1.08072,3246
2025-01-02 21:15:00,1.08073,1.08143,1.08055,1.08065,4543
2025-01-02 21:30:00,1.08064,1.08114,1.08041,1.08075,1084
2025-01-02 21:45:00,1.08066,1.0808,1.08049,1.08054,1453
2025-01-02 22:00:00,1.08061,1.08149,1.08061,1.08088,3397
2025-01-02 22:15:00,1.08104,1.08188,1.08075,1.08087,2530
2025-01-02 22:30:00,1.08065,1.08135,1.08059,1.08105,1093
2025-01-02 22:45:00,1.08105,1.08167,1.08068,1.08102,2331
2025-01-02 23:00:00,1.08092,1.08093,1.08068,1.08092,855
2025-01-02 23:15:00,1.08078,1.08093,1.08044,1.08077,2176
2025-01-02 23:30:00,1.08066,1.08128,1.08066,1.08095,3618
2025-01-02 23:45:00,1.08098,1.08109,1.08026,1.08098,611
2025-01-03 00:00:00,1.08102,1.08131,1.08035,1.08064,4234
2025-01-03 00:15:00,1.08079,1.08122,1.08036,1.08092,4970
2025-01-03 00:30:00,1.08092,1.08132,1.08067,1.08097,1344
2025-01-03 00:45:00,1.08079,1.08086,1.08059,1.08077,2673
2025-01-03 01:00:00,1.08075,1.08152,1.08025,1.0807,3578
2025-01-03 01:15:00,1.08056,1.08131,1.08048,1.08085,3109
2025-01-03 01:30:00,1.08073,1.08073,1.07989,1.08056,1883
2025-01-03 01:45:00,1.08062,1.08137,1.0805,1.08081,4470
2025-01-03 02:00:00,1.08083,1.08083,1.08009,1.08056,861
2025-01-03 02:15:00,1.08062,1.08159,1.08037,1.081,1178
2025-01-03 02:30:00,1.08097,1.08149,1.08097,1.08142,3311
2025-01-03 02:45:00,1.0815,1.08182,1.08037,1.08081,3322
2025-01-03 03:00:00,1.08077,1.08118,1.08077,1.08113,2231
2025-01-03 03:15:00,1.08124,1.08124,1.08034,1.08088,1787
2025-01-03 03:30:00,1.08092,1.08134,1.08092,1.0811,774
2025-01-03 03:45:00,1.08108,1.08108,1.08055,1.08065,1405
2025-01-03 04:00:00,1.08067,1.08124,1.08067,1.08102,2382
2025-01-03 04:15:00,1.08101,1.08121,1.08026,1.08096,991
2025-01-03 04:30:00,1.08112,1.08125,1.08068,1.08109,1040
2025-01-03 04:45:00,1.08111,1.08132,1.08072,1.08096,3386
2025-01-03 05:00:00,1.08096,1.08143,1.08036,1.08134,4915
2025-01-03 05:15:00,1.08132,1.08132,1.08071,1.08093,955
2025-01-03 05:30:00,1.08102,1.0817,1.08046,1.08132,1150
2025-01-03 05:45:00,1.08139,1.08162,1.07971,1.08121,1812
2025-01-03 06:00:00,1.08118,1.08181,1.08099,1.08133,1804
2025-01-03 06:15:00,1.08122,1.08137,1.08122,1.08133,4109
2025-01-03 06:30:00,1.08124,1.08141,1.08085,1.08127,1303
2025-01-03 06:45:00,1.08125,1.08152,1.08097,1.08137,1297
2025-01-03 07:00:00,1.0815,1.08214,1.08084,1.08169,3884
2025-01-03 07:15:00,1.08167,1.08172,1.08103,1.08142,2512
2025-01-03 07:30:00,1.08136,1.08181,1.08136,1.08174,3340
2025-01-03 07:45:00,1.08157,1.08217,1.0813,1.08178,3562
2025-01-03 08:00:00,1.08193,1.08193,1.08126,1.08133,1580
2025-01-03 08:15:00,1.08139,1.08144,1.08074,1.08118,1813
2025-01-03 08:30:00,1.08126,1.0824,1.08123,1.08142,3145
2025-01-03 08:45:00,1.08152,1.08152,1.08112,1.08127,4134
2025-01-03 09:00:00,1.08125,1.0822,1.08027,1.08168,2553
2025-01-03 09:15:00,1.08169,1.08169,1.08082,1.08136,4014
2025-01-03 09:30:00,1.08151,1.08151,1.08056,1.08113,809
2025-01-03 09:45:00,1.08115,1.08142,1.08047,1.0812,1284
2025-01-03 10:00:00,1.08126,1.08162,1.08125,1.0816,2114
